(26, 4): R=157, G=191, B=216
(27, 4): R=157, G=191, B=216
(28, 4): R=159, G=192, B=217
(29, 4): R=160, G=193, B=216
(30, 4): R=162, G=194, B=218
(31, 4): R=163, G=195, B=218
(32, 4): R=163, G=195, B=218
(33, 4): R=164, G=196, B=219
(34, 4): R=165, G=197, B=219
(35, 4): R=166, G=198, B=220
(36, 4): R=167, G=198, B=220
(37, 4): R=168, G=198, B=220
(38, 4): R=168, G=199, B=220
(39, 4): R=169, G=200, B=221
(40, 4): R=169, G=200, B=221
(41, 4): R=170, G=201, B=221
(42, 4): R=170, G=201, B=222
(43, 4): R=170, G=201, B=222
(44, 4): R=170, G=201, B=222
(45, 4): R=170, G=201, B=222
(46, 4): R=170, G=201, B=222
(47, 4): R=170, G=201, B=222
(48, 4): R=170, G=201, B=222
(49, 4): R=170, G=201, B=222
(50, 4): R=170, G=201, B=222
(51, 4): R=170, G=201, B=222
(52, 4): R=169, G=200, B=221
(53, 4): R=169, G=200, B=221
(54, 4): R=169, G=200, B=220
(55, 4): R=169, G=199, B=220
(56, 4): R=168, G=199, B=220
(57, 4): R=166, G=198, B=220
(58, 4): R=165, G=197, B=220
(59, 4): R=165, G=197, B=219
(60, 4): R=165, G=196, B=218
(61, 4): R=165, G=196, B=217
(62, 4): R=163, G=195, B=217
(63, 4): R=160, G=194, B=217
(64, 4): R=158, G=193, B=217
(65, 4): R=157, G=192, B=216
(66, 4): R=157, G=191, B=216
(67, 4): R=156, G=190, B=215
(68, 4): R=155, G=189, B=214
(69, 4): R=154, G=188, B=213
(70, 4): R=152, G=188, B=212
(71, 4): R=151, G=187, B=212
(72, 4): R=150, G=186, B=212
(73, 4): R=150, G=186, B=212
(74, 4): R=148, G=185, B=211
(75, 4): R=147, G=184, B=210
(76, 4): R=146, G=183, B=209
(77, 4): R=145, G=182, B=208
(78, 4): R=144, G=181, B=208
(79, 4): R=144, G=181, B=208
(80, 4): R=143, G=180, B=207
(81, 4): R=142, G=179, B=206
(82, 4): R=141, G=179, B=206
(83, 4): R=140, G=179, B=205
(84, 4): R=139, G=178, B=204
(85, 4): R=138, G=178, B=204
(86, 4): R=137, G=177, B=203
(87, 4): R=137, G=176, B=204
(88, 4): R=136, G=175, B=204
(89, 4): R=136, G=175, B=203
(90, 4): R=135, G=174, B=203
(91, 4): R=135, G=174, B=203
(92, 4): R=134, G=173, B=202
(93, 4): R=133, G=173, B=202
(94, 4): R=132, G=173, B=201
(95, 4): R=132, G=173, B=201
(96, 4): R=132, G=173, B=201
(97, 4): R=131, G=172, B=200
(98, 4): R=131, G=172, B=200
(99, 4): R=131, G=172, B=200
(0, 5): R=138, G=174, B=199
(1, 5): R=125, G=148, B=169
(2, 5): R=114, G=143, B=172
(3, 5): R=135, G=174, B=201
(4, 5): R=143, G=178, B=197
(5, 5): R=155, G=180, B=185
(6, 5): R=147, G=179, B=199
(7, 5): R=142, G=178, B=204
(8, 5): R=142, G=179, B=206
(9, 5): R=142, G=179, B=206
(10, 5): R=143, G=180, B=207
(11, 5): R=143, G=180, B=207
(12, 5): R=144, G=181, B=207
(13, 5): R=145, G=182, B=208
(14, 5): R=146, G=182, B=208
(15, 5): R=147, G=183, B=209
(16, 5): R=148, G=184, B=210
(17, 5): R=149, G=185, B=211
(18, 5): R=150, G=185, B=211
(19, 5): R=150, G=186, B=212
(20, 5): R=152, G=187, B=212
(21, 5): R=153, G=188, B=212
(22, 5): R=154, G=188, B=213
(23, 5): R=155, G=189, B=214
(24, 5): R=156, G=190, B=215
(25, 5): R=157, G=191, B=216
(26, 5): R=158, G=192, B=216
(27, 5): R=160, G=193, B=216
(28, 5): R=161, G=194, B=217
(29, 5): R=162, G=194, B=217
(30, 5): R=163, G=195, B=218
(31, 5): R=164, G=196, B=219
(32, 5): R=165, G=197, B=219
(33, 5): R=166, G=197, B=220
(34, 5): R=167, G=198, B=220
(35, 5): R=168, G=199, B=220
(36, 5): R=169, G=200, B=221
(37, 5): R=169, G=200, B=221
(38, 5): R=170, G=201, B=222
(39, 5): R=170, G=201, B=223
(40, 5): R=171, G=202, B=223
(41, 5): R=172, G=202, B=223
(42, 5): R=172, G=203, B=224
(43, 5): R=172, G=203, B=224
(44, 5): R=172, G=203, B=224
(45, 5): R=172, G=203, B=224
(46, 5): R=173, G=203, B=224
(47, 5): R=173, G=203, B=224
(48, 5): R=172, G=203, B=224
(49, 5): R=173, G=203, B=224
(50, 5): R=172, G=203, B=224
(51, 5): R=172, G=202, B=223
(52, 5): R=173, G=202, B=223
(53, 5): R=170, G=202, B=223
(54, 5): R=155, G=200, B=227
(55, 5): R=132, G=195, B=233
(56, 5): R=113, G=191, B=238
(57, 5): R=101, G=186, B=241
(58, 5): R=96, G=182, B=242
(59, 5): R=98, G=179, B=240
(60, 5): R=109, G=179, B=236
(61, 5): R=127, G=183, B=230
(62, 5): R=148, G=190, B=223
(63, 5): R=161, G=195, B=218
(64, 5): R=163, G=195, B=216
(65, 5): R=160, G=193, B=216
(66, 5): R=158, G=192, B=216
(67, 5): R=157, G=191, B=216
(68, 5): R=156, G=190, B=215
(69, 5): R=155, G=189, B=214
(70, 5): R=154, G=188, B=213
(71, 5): R=153, G=188, B=213
(72, 5): R=152, G=187, B=213
(73, 5): R=151, G=187, B=213
(74, 5): R=150, G=186, B=212
(75, 5): R=149, G=185, B=211
(76, 5): R=148, G=184, B=210
(77, 5): R=147, G=183, B=209
(78, 5): R=145, G=182, B=208
(79, 5): R=145, G=182, B=208
